origgpcd,0,-
origgpfr,0,-
origfdcd,0,-
origfdnm,0,-
energie_ue_kj,8400,kj
energie_ue_kcal,2000,kcal
energie_jones_kj,0,kj
energie_jones_kcal,0,kcal
eau,0,ml
proteines,50,g
proteines_brutes,0,g
glucides,260,g
lipides,70,g
sucres,90,g
amidon,0,g
fibres,0,g
polyols,0,g
cendres,0,g
alcool,0,g
acides_organiques,0,g
acides_gras_satures,0,g
acides_gras_mono,0,g
acides_gras_poly,0,g
acides_gras_butyrique,0,-
acides_gras_caproique,0,-
acides_gras_caprylique,0,-
acides_gras_caprique,0,-
acides_gras_laurique,0,-
acides_gras_myristique,0,-
acides_gras_palmitique,0,-
acides_gras_stearique,0,-
acides_gras_oleique,0,-
acides_gras_linoleique,0,-
acides_gras_alpha,0,-
acides_gras_arachidonique,0,-
acides_gras_epa,0,-
acides_gras_dha,0,-
cholesterol,0,mg
sel,6000,mg
calcium,800,mg
chlorure,0,-
cuivre,1,mg
fer,14,mg
iode,150,µg
magnesium,375,mg
manganese,2,mg
phosphore,700,mg
potassium,2000,mg
selenium,55,µg
sodium,0,mg
zinc,10,mg
retinol,800,µg
betacarotene,0,µg
vitamine_d,5,µg
vitamine_e,12,mg
vitamine_k1,0,-
vitamine_k2,0,-
vitamine_c,80,mg
vitamine_b1,1.1,mg
vitamine_b2,1.4,mg
vitamine_b3,16,mg
vitamine_b5,6,mg
vitamine_b6,1.4,mg
vitamine_b9,200,µg
vitamine_b12,2.5,µg
